email_text,email_text_clean,label,email_type,email_length,word_count,url_count,has_urls,urgent_word_count,has_urgent_words,money_word_count,has_money_words,exclamation_count,question_count,predicted_label,predicted_probability,confidence,error_type
these nurses are flaming hot an apple a day keeps the doctor away a pill a day keeps your pecker stronger and gay. URL PLACEHOLDER,these nurses are flaming hot an apple a day keeps the doctor away a pill a day keeps your pecker stronger and gay. URL PLACEHOLDER,1,Phishing Email,140,25,1,1,0,0,0,0,0,0,0,0.0034181706,0.99658185,False Negative
designer timepieces sold out our manufacturers are wizards at creating immaculate copies of brand watches! URL PLACEHOLDER,designer timepieces sold out our manufacturers are wizards at creating immaculate copies of brand watches! URL PLACEHOLDER,1,Phishing Email,127,17,1,1,0,0,0,0,1,0,0,0.009171759,0.9908283,False Negative
uai technion s ontobuilder ver . is now available the technion ontobuilder group is pleased to announce ontobuilder ver. . . ontobuilder is a research prototype for schema matching using ontological constructs. ontobuilder has two main components ontox which extracts schemata from web forms and represents them as ontologies. ontom which receives as inout two ontobuilder schemata and produces as output a mapping. ontom is a flexible framework to which new matching heuristics can be easily added. ontobuilder is available for download via the ontobuilder site at the technion URL PLACEHOLDER . new features in ontobuilder ver . include . better rendering of web forms for ease of extraction. . onto rdf a mechanism for translating ontobuilder ontologies to rdf requires .net . light ontology schema representation. . top k mappings a ranked list of top k mappings ranked in a decreasing order of similarity. . new well known algorithms including n grams and similarity flooding. in addition the ontobuilder site offers more than ontologies that were collected from various web forms related publications and other utilities such as exact mapping generator. the ontobuilder team is available at your service EMAIL PLACEHOLDER assisting in installing and using the tool. the tool has been used successfuly in courses at the technion illustrating various aspects of schema matching research. it also serves graduate students in their research activities.,uai technion s ontobuilder ver . is now available the technion ontobuilder group is pleased to announce ontobuilder ver. . . ontobuilder is a research prototype for schema matching using ontological constructs. ontobuilder has two main components ontox which extracts schemata from web forms and represents them as ontologies. ontom which receives as inout two ontobuilder schemata and produces as output a mapping. ontom is a flexible framework to which new matching heuristics can be easily added. ontobuilder is available for download via the ontobuilder site at the technion URL PLACEHOLDER . new features in ontobuilder ver . include . better rendering of web forms for ease of extraction. . onto rdf a mechanism for translating ontobuilder ontologies to rdf requires .net . light ontology schema representation. . top k mappings a ranked list of top k mappings ranked in a decreasing order of similarity. . new well known algorithms including n grams and similarity flooding. in addition the ontobuilder site offers more than ontologies that were collected from various web forms related publications and other utilities such as exact mapping generator. the ontobuilder team is available at your service EMAIL PLACEHOLDER assisting in installing and using the tool. the tool has been used successfuly in courses at the technion illustrating various aspects of schema matching research. it also serves graduate students in their research activities.,0,Safe Email,1539,226,1,1,0,0,1,1,0,0,1,0.9997415,0.9997415,False Positive
fake watches looking really grand! our manufacturers are wizards at creating immaculate copies of brand watches! URL PLACEHOLDER,fake watches looking really grand! our manufacturers are wizards at creating immaculate copies of brand watches! URL PLACEHOLDER,1,Phishing Email,133,18,1,1,0,0,0,0,2,0,0,0.23300317,0.76699686,False Negative
your lady deserves to be satisfied better! you can now easily bring your problem of small measurement to an end! gradually your love gun is going to escalate into bigger one! URL PLACEHOLDER things went wrong nagel recalled tivadar had always found a wayboat with the razor blade in his hand and continued shaving on thethe creator of everything but i feel comfortable about it now since i,your lady deserves to be satisfied better! you can now easily bring your problem of small measurement to an end! gradually your love gun is going to escalate into bigger one! URL PLACEHOLDER things went wrong nagel recalled tivadar had always found a wayboat with the razor blade in his hand and continued shaving on thethe creator of everything but i feel comfortable about it now since i,1,Phishing Email,402,68,1,1,0,0,0,0,3,0,0,0.13560821,0.8643918,False Negative
north korea nuclear fallout microsoft gains yahoo URL PLACEHOLDER no virus found in this outgoing message. checked by avg URL PLACEHOLDER version . . virus database . . release date pm,north korea nuclear fallout microsoft gains yahoo URL PLACEHOLDER no virus found in this outgoing message. checked by avg URL PLACEHOLDER version . . virus database . . release date pm,1,Phishing Email,252,31,1,1,0,0,0,0,0,0,0,0.31751564,0.6824844,False Negative
re all everything that i understand i understand only because i love. URL PLACEHOLDER,re all everything that i understand i understand only because i love. URL PLACEHOLDER,1,Phishing Email,104,14,1,1,0,0,0,0,0,0,0,0.045746457,0.95425355,False Negative
message undeliverable sorry but the craigslist user address you recently mailed EMAIL PLACEHOLDER does not seem to be valid. it could be you re trying to respond to a very old posting or that the user has not requested anonymous email forwarding. please check the address and try again. the original headers appear below this line received from .fastres.net .fastres.net . . . by mxi s.craigslist.org postfix with esmtp id ce c aad for wed aug pdt message id from ?koi r?b? cffzttt nfpio fxnfj snnz puyq ? to subject ?koi r?b? tbzsdpxsntlcdaxmhoycu ? date wed aug mime version . content type multipart alternative boundary nextpart c f b . a ea x priority x msmail priority normal x mailer microsoft outlook express . . . x mimeole produced by microsoft mimeole v . . .,message undeliverable sorry but the craigslist user address you recently mailed EMAIL PLACEHOLDER does not seem to be valid. it could be you re trying to respond to a very old posting or that the user has not requested anonymous email forwarding. please check the address and try again. the original headers appear below this line received from .fastres.net .fastres.net . . . by mxi s.craigslist.org postfix with esmtp id ce c aad for wed aug pdt message id from ?koi r?b? cffzttt nfpio fxnfj snnz puyq ? to subject ?koi r?b? tbzsdpxsntlcdaxmhoycu ? date wed aug mime version . content type multipart alternative boundary nextpart c f b . a ea x priority x msmail priority normal x mailer microsoft outlook express . . . x mimeole produced by microsoft mimeole v . . .,1,Phishing Email,1000,136,0,0,0,0,0,0,0,8,0,0.00016346938,0.99983644,False Negative
answers to erectile dysfunction you have been requested to take part in this poll URL PLACEHOLDER,answers to erectile dysfunction you have been requested to take part in this poll URL PLACEHOLDER,1,Phishing Email,107,16,1,1,0,0,0,0,0,0,0,0.0026647714,0.99733526,False Negative
alert make up to day with absolutely no out of pocket cost to you! no text support.message sent EMAIL PLACEHOLDER valued hfo subscriber since adf you are part of our exclusive list rewards program which rewards you simply for being a free hfo list subscriber. each week you remain active you ll automatically receive additional entry into our quarterly cash sweepstakes as well as other great drawings. details here congratulations to our recent k winners maggie m. of boston ma brian n. of godfrey il.hfo network main street kirkland wa privacy policyno longer interested in our free list rewards program? please follow the link below.please cancel my free rewards program subscriptionmg.id a a a a copyright hfo network current.powered by emaillaunch,alert make up to day with absolutely no out of pocket cost to you! no text support.message sent EMAIL PLACEHOLDER valued hfo subscriber since adf you are part of our exclusive list rewards program which rewards you simply for being a free hfo list subscriber. each week you remain active you ll automatically receive additional entry into our quarterly cash sweepstakes as well as other great drawings. details here congratulations to our recent k winners maggie m. of boston ma brian n. of godfrey il.hfo network main street kirkland wa privacy policyno longer interested in our free list rewards program? please follow the link below.please cancel my free rewards program subscriptionmg.id a a a a copyright hfo network current.powered by emaillaunch,1,Phishing Email,889,121,0,0,1,1,4,1,1,1,0,0.0010790963,0.9989209,False Negative
she will surely enjoy your changes the most profound penetration is guaranteed by this formula! believe in your good luck start acting now! URL PLACEHOLDER player of the year awards scale struck the indonesian island of sumatra within themicrosoft faults google on its copyright protection,she will surely enjoy your changes the most profound penetration is guaranteed by this formula! believe in your good luck start acting now! URL PLACEHOLDER player of the year awards scale struck the indonesian island of sumatra within themicrosoft faults google on its copyright protection,1,Phishing Email,298,45,1,1,0,0,0,0,2,0,0,0.00023450333,0.99976546,False Negative
re diff perlxstut.pod on ren e b cker wrote the new diff is attached... diff runp c usr lib pod perlxstut.pod c usr lib pod perlxstut.pod.new thanks applied.,re diff perlxstut.pod on ren e b cker wrote the new diff is attached... diff runp c usr lib pod perlxstut.pod c usr lib pod perlxstut.pod.new thanks applied.,0,Safe Email,197,28,0,0,0,0,0,0,0,0,1,0.73792183,0.73792183,False Positive
re perl try oo semantics before throwing fatal error no feedback concerning the overloaded p p explicit weak forward reference approach. would it work or have i misunderstood an important aspect of the problem?,re perl try oo semantics before throwing fatal error no feedback concerning the overloaded p p explicit weak forward reference approach. would it work or have i misunderstood an important aspect of the problem?,0,Safe Email,225,34,0,0,1,1,1,1,0,1,1,0.99934167,0.99934167,False Positive
vaccinate denny antelope primitivism riggs afloat rob rob? snowflake provocation edith. desire laurent fallacious elicit stearic aile bob tact occasion tact crosshatch provocation. bob emit aseptic thyratron cap laurent? afloat aile suggestive. dishwasher oedipus redpoll friedman est occasion occasion decreeing captaincy denny wine difluoride. stearic maul thyratron crosshatch thyratron dishwasher? antelope aile captaincy. aeschylus riggs.,vaccinate denny antelope primitivism riggs afloat rob rob? snowflake provocation edith. desire laurent fallacious elicit stearic aile bob tact occasion tact crosshatch provocation. bob emit aseptic thyratron cap laurent? afloat aile suggestive. dishwasher oedipus redpoll friedman est occasion occasion decreeing captaincy denny wine difluoride. stearic maul thyratron crosshatch thyratron dishwasher? antelope aile captaincy. aeschylus riggs.,1,Phishing Email,457,55,0,0,0,0,1,1,0,3,0,0.00016152054,0.9998385,False Negative
